,Date,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Bucket
6497,2015-04-05,Delhi,95.28,243.36,49.57,49.67,1.56,23.77,173.0,Moderate
41738,2015-04-05,Delhi,85.65,112.95,48.43,20.23,4.96,73.6,276.0,Poor
38065,2015-04-08,Delhi,104.31,104.31,71.27,18.1,11.29,192.14,368.0,Very Poor
38066,2015-04-09,Delhi,50.4,50.4,82.57,8.12,1.1,138.13,438.0,Severe
27969,2015-04-10,Delhi,67.31,143.7,52.88,20.87,1.01,76.17,168.0,Moderate
38067,2015-04-10,Delhi,92.22,92.22,71.37,20.18,1.13,194.34,307.0,Very Poor
41743,2015-04-10,Delhi,104.86,223.94,64.33,15.54,2.47,42.9,231.0,Poor
6502,2015-04-10,Delhi,106.38,430.46,76.95,15.95,1.8,13.68,402.0,Severe
38068,2015-04-11,Delhi,122.75,122.75,86.97,35.21,4.07,280.91,335.0,Very Poor
41744,2015-04-11,Delhi,113.61,243.95,63.04,19.03,8.26,40.78,364.0,Very Poor
6503,2015-04-11,Delhi,231.12,577.43,85.74,27.28,1.95,13.31,543.0,Severe
27970,2015-04-11,Delhi,81.02,156.79,75.97,25.91,4.35,52.89,288.0,Poor
38069,2015-04-12,Delhi,68.05,68.05,70.96,20.81,3.9,131.04,314.0,Very Poor
41745,2015-04-12,Delhi,61.01,112.76,57.03,19.54,5.27,56.71,224.0,Poor
27971,2015-04-12,Delhi,60.33,115.67,88.0,17.0,39.0,38.0,409.0,Severe
41746,2015-04-13,Delhi,61.48,117.85,51.35,15.63,0.73,61.07,161.0,Moderate
38070,2015-04-13,Delhi,89.34,89.34,78.23,24.3,1.02,191.98,302.0,Very Poor
6505,2015-04-13,Delhi,107.44,155.21,54.15,20.02,1.55,15.28,263.0,Poor
27973,2015-04-14,Delhi,51.59,122.41,60.39,13.05,0.8,60.38,141.0,Moderate
6506,2015-04-14,Delhi,81.62,206.07,47.47,17.07,1.53,12.18,172.0,Moderate
38071,2015-04-14,Delhi,108.37,108.37,63.61,27.21,13.21,163.47,364.0,Very Poor
41747,2015-04-14,Delhi,64.7,128.98,49.2,16.0,1.8,54.67,140.0,Moderate
38072,2015-04-15,Delhi,177.56,177.56,82.21,18.04,1.32,143.39,407.0,Severe
41748,2015-04-15,Delhi,144.61,180.04,85.4,14.2,3.67,60.66,283.0,Poor
27974,2015-04-15,Delhi,75.05,141.12,94.29,25.79,7.7,5.74,284.0,Poor
6507,2015-04-15,Delhi,115.84,475.48,64.43,29.36,2.02,9.82,254.0,Poor
27975,2015-04-16,Delhi,72.53,145.09,70.8,32.03,7.06,24.04,405.0,Severe
6508,2015-04-16,Delhi,109.24,327.73,46.98,24.44,1.51,12.95,284.0,Poor
38073,2015-04-16,Delhi,90.62,90.62,59.33,33.7,1.66,216.56,322.0,Very Poor
41749,2015-04-16,Delhi,66.25,115.72,56.95,16.38,1.56,53.66,139.0,Moderate
41750,2015-04-17,Delhi,65.53,170.89,50.77,20.17,2.08,47.71,163.0,Moderate
27976,2015-04-17,Delhi,39.32,106.98,41.87,18.39,3.38,96.04,173.0,Moderate
6509,2015-04-17,Delhi,95.38,437.15,59.33,15.59,1.62,19.46,310.0,Very Poor
38074,2015-04-17,Delhi,61.63,61.63,53.38,20.43,1.12,144.42,201.0,Poor
38075,2015-04-18,Delhi,110.56,110.56,77.47,29.7,5.81,254.6,384.0,Very Poor
27977,2015-04-18,Delhi,77.48,197.62,45.88,22.44,6.42,95.21,283.0,Poor
6510,2015-04-18,Delhi,162.84,511.4,70.52,15.16,1.74,19.43,496.0,Severe
41751,2015-04-18,Delhi,193.72,290.84,63.12,24.3,2.78,38.19,308.0,Very Poor
41752,2015-04-19,Delhi,123.93,308.13,65.06,18.51,6.17,38.68,368.0,Very Poor
27978,2015-04-19,Delhi,85.81,234.01,121.6,25.43,6.38,39.35,319.0,Very Poor
6511,2015-04-19,Delhi,216.75,679.28,93.0,22.49,2.44,15.18,656.0,Severe
38076,2015-04-19,Delhi,116.04,116.04,104.14,52.33,6.72,273.29,366.0,Very Poor
6512,2015-04-20,Delhi,125.6,552.66,49.99,18.63,1.63,16.63,597.0,Severe
41753,2015-04-20,Delhi,123.92,373.64,60.97,18.64,2.78,33.99,365.0,Very Poor
27979,2015-04-20,Delhi,103.0,384.23,110.97,27.95,2.44,62.94,291.0,Poor
38077,2015-04-20,Delhi,138.4,138.4,109.26,63.85,4.11,417.52,382.0,Very Poor
41754,2015-04-21,Delhi,108.24,365.67,50.4,24.35,2.16,29.98,341.0,Very Poor
6513,2015-04-21,Delhi,137.34,634.03,71.51,27.01,1.7,17.5,615.0,Severe
38078,2015-04-21,Delhi,126.15,126.15,72.36,39.9,0.95,359.86,346.0,Very Poor
27980,2015-04-21,Delhi,82.7,330.69,68.63,31.84,1.52,70.66,336.0,Very Poor
38079,2015-04-22,Delhi,107.38,107.38,85.79,31.52,0.97,284.73,335.0,Very Poor
6514,2015-04-22,Delhi,128.94,652.38,84.61,21.92,1.85,14.22,652.0,Severe
27981,2015-04-22,Delhi,82.64,231.64,78.96,30.77,0.77,85.57,243.0,Poor
41755,2015-04-22,Delhi,97.39,280.65,61.98,28.44,2.08,22.16,269.0,Poor
27982,2015-04-23,Delhi,81.54,209.99,113.58,33.74,1.0,78.04,231.0,Poor
41756,2015-04-23,Delhi,139.85,292.48,78.94,28.29,2.49,25.77,256.0,Poor
38080,2015-04-23,Delhi,109.79,109.79,117.46,34.92,3.77,315.47,362.0,Very Poor
6515,2015-04-23,Delhi,192.07,574.72,131.56,29.61,2.4,16.24,688.0,Severe
41757,2015-04-24,Delhi,136.57,302.62,106.1,29.98,4.85,27.25,363.0,Very Poor
6516,2015-04-24,Delhi,188.63,597.97,134.45,32.83,2.13,20.98,582.0,Severe
27983,2015-04-24,Delhi,122.28,266.97,148.59,39.04,1.49,57.77,250.0,Poor
38081,2015-04-24,Delhi,165.17,165.17,130.61,47.75,3.47,407.38,396.0,Very Poor
6517,2015-04-25,Delhi,127.62,590.23,63.26,24.17,1.39,21.58,581.0,Severe
38082,2015-04-25,Delhi,117.23,117.23,100.74,29.08,2.15,424.23,363.0,Very Poor
